# sampler start 2026-09-15T21:03:01Z endpoints=p0,p1,d0,d1
21:03:01 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:28:30 p0 run=8 q=60 prealloc=0 xfer=0 http=70 kv=0.030 hit=0.000 gen=0 | p1 run=9 q=61 prealloc=0 xfer=0 http=71 kv=0.033 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=72 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0
21:28:45 p0 run=8 q=58 prealloc=0 xfer=0 http=67 kv=0.033 hit=0.000 gen=0 | p1 run=8 q=60 prealloc=0 xfer=0 http=69 kv=0.040 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=70 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=66 kv=0.000 hit=0.000 gen=0
21:29:01 p0 run=8 q=56 prealloc=0 xfer=0 http=65 kv=0.035 hit=0.000 gen=0 | p1 run=9 q=56 prealloc=0 xfer=0 http=67 kv=0.043 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=64 kv=0.000 hit=0.000 gen=0
21:29:16 p0 run=8 q=53 prealloc=0 xfer=0 http=64 kv=0.048 hit=0.000 gen=0 | p1 run=9 q=53 prealloc=0 xfer=0 http=64 kv=0.036 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=67 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=61 kv=0.000 hit=0.000 gen=0
21:29:31 p0 run=8 q=51 prealloc=0 xfer=0 http=60 kv=0.031 hit=0.000 gen=0 | p1 run=9 q=52 prealloc=0 xfer=0 http=62 kv=0.039 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=63 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=59 kv=0.000 hit=0.000 gen=0
21:29:46 p0 run=9 q=49 prealloc=0 xfer=0 http=59 kv=0.036 hit=0.000 gen=0 | p1 run=8 q=52 prealloc=0 xfer=0 http=61 kv=0.049 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=61 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=59 kv=0.000 hit=0.000 gen=0
21:30:02 p0 run=8 q=48 prealloc=0 xfer=0 http=57 kv=0.037 hit=0.000 gen=0 | p1 run=8 q=47 prealloc=0 xfer=0 http=58 kv=0.040 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=58 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=57 kv=0.000 hit=0.000 gen=0
21:30:17 p0 run=8 q=46 prealloc=0 xfer=0 http=56 kv=0.045 hit=0.000 gen=0 | p1 run=8 q=47 prealloc=0 xfer=0 http=56 kv=0.041 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=56 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=55 kv=0.000 hit=0.000 gen=0
21:30:32 p0 run=8 q=44 prealloc=0 xfer=0 http=53 kv=0.037 hit=0.000 gen=0 | p1 run=8 q=44 prealloc=0 xfer=0 http=53 kv=0.035 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=54 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=52 kv=0.000 hit=0.000 gen=0
21:30:47 p0 run=8 q=42 prealloc=0 xfer=0 http=51 kv=0.041 hit=0.000 gen=0 | p1 run=8 q=43 prealloc=0 xfer=0 http=53 kv=0.050 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=53 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=51 kv=0.000 hit=0.000 gen=0
21:31:03 p0 run=8 q=40 prealloc=0 xfer=0 http=49 kv=0.040 hit=0.000 gen=0 | p1 run=8 q=39 prealloc=0 xfer=0 http=49 kv=0.033 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=49 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=49 kv=0.000 hit=0.000 gen=0
21:31:18 p0 run=8 q=40 prealloc=0 xfer=0 http=49 kv=0.054 hit=0.000 gen=0 | p1 run=8 q=38 prealloc=0 xfer=0 http=48 kv=0.044 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=49 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=48 kv=0.000 hit=0.000 gen=0
21:31:33 p0 run=9 q=37 prealloc=0 xfer=0 http=47 kv=0.048 hit=0.000 gen=0 | p1 run=8 q=38 prealloc=0 xfer=0 http=47 kv=0.050 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=48 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=46 kv=0.000 hit=0.000 gen=0
21:31:49 p0 run=8 q=35 prealloc=0 xfer=0 http=44 kv=0.036 hit=0.000 gen=0 | p1 run=8 q=35 prealloc=0 xfer=0 http=45 kv=0.045 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=46 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
21:32:04 p0 run=8 q=35 prealloc=0 xfer=0 http=44 kv=0.049 hit=0.000 gen=0 | p1 run=8 q=35 prealloc=0 xfer=0 http=44 kv=0.054 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=45 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
21:32:19 p0 run=8 q=35 prealloc=0 xfer=0 http=44 kv=0.066 hit=0.000 gen=0 | p1 run=8 q=34 prealloc=0 xfer=0 http=44 kv=0.069 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=45 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
21:32:34 p0 run=8 q=34 prealloc=0 xfer=0 http=43 kv=0.068 hit=0.000 gen=0 | p1 run=8 q=32 prealloc=0 xfer=0 http=43 kv=0.074 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
21:32:50 p0 run=8 q=32 prealloc=0 xfer=0 http=41 kv=0.058 hit=0.000 gen=0 | p1 run=8 q=31 prealloc=0 xfer=0 http=40 kv=0.059 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=41 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=40 kv=0.000 hit=0.000 gen=0
21:33:05 p0 run=8 q=29 prealloc=0 xfer=0 http=39 kv=0.045 hit=0.000 gen=0 | p1 run=8 q=30 prealloc=0 xfer=0 http=39 kv=0.051 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=40 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=38 kv=0.000 hit=0.000 gen=0
21:33:20 p0 run=8 q=28 prealloc=0 xfer=0 http=37 kv=0.040 hit=0.000 gen=0 | p1 run=8 q=28 prealloc=0 xfer=0 http=37 kv=0.048 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=37 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=37 kv=0.000 hit=0.000 gen=0
21:33:36 p0 run=8 q=28 prealloc=0 xfer=0 http=37 kv=0.051 hit=0.000 gen=0 | p1 run=8 q=28 prealloc=0 xfer=0 http=37 kv=0.058 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=37 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=37 kv=0.000 hit=0.000 gen=0
21:33:51 p0 run=8 q=27 prealloc=0 xfer=0 http=36 kv=0.054 hit=0.000 gen=0 | p1 run=8 q=26 prealloc=0 xfer=0 http=36 kv=0.060 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
21:34:06 p0 run=8 q=27 prealloc=0 xfer=0 http=36 kv=0.068 hit=0.000 gen=0 | p1 run=8 q=26 prealloc=0 xfer=0 http=35 kv=0.055 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=35 kv=0.000 hit=0.000 gen=0
21:34:21 p0 run=8 q=26 prealloc=0 xfer=0 http=36 kv=0.084 hit=0.000 gen=0 | p1 run=8 q=26 prealloc=0 xfer=0 http=35 kv=0.070 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=35 kv=0.000 hit=0.000 gen=0
21:34:36 p0 run=8 q=25 prealloc=0 xfer=0 http=34 kv=0.070 hit=0.000 gen=0 | p1 run=9 q=24 prealloc=0 xfer=0 http=34 kv=0.072 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=34 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=34 kv=0.000 hit=0.000 gen=0
21:34:52 p0 run=8 q=23 prealloc=0 xfer=0 http=32 kv=0.072 hit=0.000 gen=0 | p1 run=8 q=22 prealloc=0 xfer=0 http=33 kv=0.074 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=32 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=33 kv=0.000 hit=0.000 gen=0
21:35:07 p0 run=8 q=22 prealloc=0 xfer=0 http=32 kv=0.085 hit=0.000 gen=0 | p1 run=8 q=19 prealloc=0 xfer=0 http=29 kv=0.044 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=31 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=30 kv=0.000 hit=0.000 gen=0
21:35:22 p0 run=8 q=20 prealloc=0 xfer=0 http=30 kv=0.066 hit=0.000 gen=0 | p1 run=8 q=17 prealloc=0 xfer=0 http=27 kv=0.044 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=29 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0
21:35:37 p0 run=8 q=19 prealloc=0 xfer=0 http=28 kv=0.061 hit=0.000 gen=0 | p1 run=8 q=15 prealloc=0 xfer=0 http=24 kv=0.043 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
21:35:53 p0 run=8 q=19 prealloc=0 xfer=0 http=28 kv=0.071 hit=0.000 gen=0 | p1 run=8 q=15 prealloc=0 xfer=0 http=24 kv=0.052 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
21:36:08 p0 run=8 q=19 prealloc=0 xfer=0 http=28 kv=0.071 hit=0.000 gen=0 | p1 run=8 q=14 prealloc=0 xfer=0 http=23 kv=0.064 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=26 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
21:36:23 p0 run=8 q=18 prealloc=0 xfer=0 http=28 kv=0.075 hit=0.000 gen=0 | p1 run=9 q=11 prealloc=0 xfer=0 http=21 kv=0.054 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=24 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
21:36:38 p0 run=8 q=17 prealloc=0 xfer=0 http=26 kv=0.062 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.065 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=24 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0
21:36:54 p0 run=9 q=15 prealloc=0 xfer=0 http=25 kv=0.058 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.079 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=24 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
21:37:09 p0 run=8 q=15 prealloc=0 xfer=0 http=24 kv=0.060 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=23 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
21:37:24 p0 run=8 q=15 prealloc=0 xfer=0 http=24 kv=0.074 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=23 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
21:37:39 p0 run=8 q=14 prealloc=0 xfer=0 http=23 kv=0.076 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
21:37:54 p0 run=8 q=13 prealloc=0 xfer=0 http=23 kv=0.092 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0
21:38:10 p0 run=8 q=13 prealloc=0 xfer=0 http=22 kv=0.101 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0
21:38:25 p0 run=8 q=13 prealloc=0 xfer=0 http=22 kv=0.114 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0
21:38:40 p0 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.102 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0
21:38:55 p0 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.113 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0
21:39:10 p0 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.122 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0
21:39:26 p0 run=9 q=9 prealloc=0 xfer=0 http=19 kv=0.096 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
21:39:41 p0 run=8 q=9 prealloc=0 xfer=0 http=18 kv=0.081 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
21:39:56 p0 run=8 q=6 prealloc=0 xfer=0 http=17 kv=0.090 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=17 kv=0.000 hit=0.000 gen=0
21:40:11 p0 run=8 q=6 prealloc=0 xfer=0 http=15 kv=0.077 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
21:40:27 p0 run=8 q=6 prealloc=0 xfer=0 http=15 kv=0.089 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
21:40:42 p0 run=8 q=4 prealloc=0 xfer=0 http=15 kv=0.101 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
21:40:57 p0 run=8 q=3 prealloc=0 xfer=0 http=13 kv=0.103 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=14 kv=0.000 hit=0.000 gen=0
21:41:12 p0 run=9 q=2 prealloc=0 xfer=0 http=12 kv=0.092 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=12 kv=0.000 hit=0.000 gen=0
21:41:27 p0 run=8 q=1 prealloc=0 xfer=0 http=9 kv=0.074 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=17 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=12 kv=0.000 hit=0.000 gen=0
21:41:43 p0 run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.046 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=12 kv=0.000 hit=0.000 gen=0
21:41:58 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.055 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=11 kv=0.000 hit=0.000 gen=0
21:42:13 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.064 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=11 kv=0.000 hit=0.000 gen=0
21:42:28 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.070 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=11 kv=0.000 hit=0.000 gen=0
21:42:43 p0 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.074 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=10 kv=0.000 hit=0.000 gen=0
21:42:59 p0 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.081 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=10 kv=0.000 hit=0.000 gen=0
21:43:14 p0 run=8 q=0 prealloc=0 xfer=0 http=3 kv=0.085 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=8 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
21:43:29 p0 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.089 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
21:43:44 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
21:43:59 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
21:44:14 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
21:44:30 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1=<URLError>
