# sampler start 2026-09-15T18:56:23Z endpoints=p0,p1,p2,d0
18:56:24 p0=<URLError> | p1=<URLError> | p2=<URLError> | d0=<URLError>
19:18:49 p0 run=8 q=5 prealloc=0 xfer=0 http=15 kv=0.046 hit=0.000 gen=0 | p1 run=8 q=5 prealloc=0 xfer=0 http=15 kv=0.031 hit=0.000 gen=0 | p2 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.034 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=49 kv=0.000 hit=0.000 gen=0
19:19:04 p0 run=9 q=2 prealloc=0 xfer=0 http=13 kv=0.041 hit=0.000 gen=0 | p1 run=8 q=4 prealloc=0 xfer=0 http=13 kv=0.033 hit=0.000 gen=0 | p2 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.044 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0
19:19:19 p0 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.040 hit=0.000 gen=0 | p1 run=8 q=3 prealloc=0 xfer=0 http=12 kv=0.043 hit=0.000 gen=0 | p2 run=9 q=10 prealloc=0 xfer=0 http=20 kv=0.060 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=41 kv=0.000 hit=0.000 gen=0
19:19:34 p0 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.059 hit=0.000 gen=0 | p1 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.056 hit=0.000 gen=0 | p2 run=8 q=9 prealloc=0 xfer=0 http=19 kv=0.071 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=38 kv=0.000 hit=0.000 gen=0
19:19:50 p0 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.070 hit=0.000 gen=0 | p1 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.070 hit=0.000 gen=0 | p2 run=8 q=7 prealloc=0 xfer=0 http=17 kv=0.074 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
19:20:05 p0 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.076 hit=0.000 gen=0 | p1 run=8 q=2 prealloc=0 xfer=0 http=11 kv=0.086 hit=0.000 gen=0 | p2 run=8 q=6 prealloc=0 xfer=0 http=15 kv=0.065 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=34 kv=0.000 hit=0.000 gen=0
19:20:20 p0 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.087 hit=0.000 gen=0 | p1 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.086 hit=0.000 gen=0 | p2 run=8 q=3 prealloc=0 xfer=0 http=13 kv=0.064 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=31 kv=0.000 hit=0.000 gen=0
19:20:35 p0 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.099 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.084 hit=0.000 gen=0 | p2 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.045 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0
19:20:50 p0 run=8 q=0 prealloc=0 xfer=0 http=8 kv=0.092 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.096 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=8 kv=0.055 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
19:21:06 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.104 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.105 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.066 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=17 kv=0.000 hit=0.000 gen=0
19:21:21 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.111 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.111 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.074 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
19:21:36 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.119 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.118 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.084 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
19:21:51 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.119 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.118 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.086 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0
19:22:06 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.120 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.119 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=14 kv=0.000 hit=0.000 gen=0
19:22:22 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.129 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.125 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.000 gen=0
19:22:37 p0 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.136 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.130 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.094 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.000 gen=0
19:22:52 p0 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.143 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.135 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.100 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=10 kv=0.000 hit=0.000 gen=0
19:23:07 p0 run=8 q=0 prealloc=0 xfer=0 http=3 kv=0.146 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.139 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=3 kv=0.104 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0
19:23:22 p0 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.149 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.141 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.106 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
19:23:38 p0 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.150 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.142 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.107 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
19:23:53 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.145 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.110 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
19:24:08 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.146 hit=0.000 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.111 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
19:24:41 p0 run=3 q=0 prealloc=0 xfer=0 http=33 kv=0.017 hit=0.977 gen=0 | p1 run=3 q=1 prealloc=0 xfer=0 http=44 kv=0.020 hit=0.944 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0 | d0=<TimeoutError>
19:24:59 p0 run=8 q=6 prealloc=0 xfer=0 http=19 kv=0.094 hit=0.993 gen=0 | p1 run=9 q=5 prealloc=0 xfer=0 http=21 kv=0.064 hit=0.994 gen=0 | p2 run=10 q=4 prealloc=0 xfer=0 http=15 kv=0.111 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=104 kv=0.000 hit=0.000 gen=0
19:25:14 p0 run=9 q=1 prealloc=0 xfer=0 http=4 kv=0.182 hit=0.995 gen=0 | p1 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.159 hit=0.996 gen=0 | p2 run=9 q=3 prealloc=0 xfer=0 http=5 kv=0.129 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=10 kv=0.000 hit=0.000 gen=0
19:25:29 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.186 hit=0.995 gen=0 | p1 run=9 q=0 prealloc=0 xfer=0 http=2 kv=0.154 hit=0.996 gen=0 | p2 run=9 q=3 prealloc=0 xfer=0 http=5 kv=0.133 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=8 kv=0.000 hit=0.000 gen=0
19:25:44 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.190 hit=0.995 gen=0 | p1 run=9 q=0 prealloc=0 xfer=0 http=2 kv=0.158 hit=0.996 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
19:26:00 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.193 hit=0.995 gen=0 | p1 run=9 q=0 prealloc=0 xfer=0 http=2 kv=0.161 hit=0.996 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
19:26:15 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.195 hit=0.995 gen=0 | p1 run=9 q=0 prealloc=0 xfer=0 http=2 kv=0.164 hit=0.996 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
19:26:30 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.198 hit=0.995 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
19:26:45 p0 run=9 q=1 prealloc=0 xfer=0 http=3 kv=0.200 hit=0.995 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.996 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
19:27:00 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.993 gen=0 | p1 run=4 q=0 prealloc=0 xfer=0 http=5 kv=0.017 hit=0.990 gen=0 | p2 run=5 q=1 prealloc=0 xfer=0 http=5 kv=0.010 hit=0.977 gen=0 | d0 run=4 q=0 prealloc=0 xfer=4 http=12 kv=0.040 hit=0.000 gen=85
19:27:15 p0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.974 gen=0 | p1 run=5 q=0 prealloc=0 xfer=0 http=10 kv=0.030 hit=0.996 gen=0 | p2 run=4 q=0 prealloc=0 xfer=0 http=7 kv=0.068 hit=0.972 gen=0 | d0 run=11 q=0 prealloc=0 xfer=8 http=30 kv=0.080 hit=0.000 gen=182
19:27:31 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.978 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.985 gen=0 | p2 run=2 q=1 prealloc=0 xfer=0 http=11 kv=0.040 hit=0.986 gen=0 | d0 run=22 q=0 prealloc=0 xfer=6 http=36 kv=0.117 hit=0.000 gen=218
19:27:46 p0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.978 gen=0 | p1 run=1 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.996 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=15 kv=0.020 hit=0.963 gen=0 | d0 run=22 q=0 prealloc=0 xfer=8 http=41 kv=0.136 hit=0.000 gen=219
19:28:01 p0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.982 gen=0 | p1 run=1 q=0 prealloc=0 xfer=0 http=5 kv=0.030 hit=0.967 gen=0 | p2 run=8 q=1 prealloc=0 xfer=0 http=13 kv=0.035 hit=0.981 gen=0 | d0 run=26 q=0 prealloc=0 xfer=7 http=41 kv=0.194 hit=0.000 gen=241
19:28:16 p0 run=3 q=0 prealloc=0 xfer=0 http=6 kv=0.057 hit=0.963 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.972 gen=0 | p2 run=10 q=1 prealloc=0 xfer=0 http=13 kv=0.041 hit=0.962 gen=0 | d0 run=22 q=0 prealloc=0 xfer=16 http=40 kv=0.201 hit=0.000 gen=209
19:28:32 p0 run=9 q=0 prealloc=0 xfer=0 http=9 kv=0.041 hit=0.982 gen=0 | p1 run=7 q=0 prealloc=0 xfer=0 http=4 kv=0.033 hit=0.982 gen=0 | p2 run=9 q=1 prealloc=0 xfer=0 http=14 kv=0.035 hit=0.981 gen=0 | d0 run=31 q=0 prealloc=0 xfer=12 http=51 kv=0.220 hit=0.000 gen=287
19:28:47 p0 run=6 q=0 prealloc=0 xfer=0 http=5 kv=0.027 hit=0.983 gen=0 | p1 run=4 q=0 prealloc=0 xfer=0 http=7 kv=0.020 hit=0.971 gen=0 | p2 run=9 q=0 prealloc=0 xfer=0 http=13 kv=0.079 hit=0.990 gen=0 | d0 run=27 q=0 prealloc=0 xfer=15 http=52 kv=0.203 hit=0.000 gen=270
19:29:03 p0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.989 gen=0 | p1 run=1 q=0 prealloc=0 xfer=0 http=3 kv=0.010 hit=0.958 gen=0 | p2 run=11 q=1 prealloc=0 xfer=0 http=15 kv=0.066 hit=0.987 gen=0 | d0 run=26 q=0 prealloc=0 xfer=11 http=48 kv=0.189 hit=0.000 gen=282
19:29:18 p0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.984 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.969 gen=0 | p2 run=1 q=0 prealloc=0 xfer=0 http=5 kv=0.200 hit=0.991 gen=0 | d0 run=37 q=0 prealloc=0 xfer=1 http=49 kv=0.214 hit=0.000 gen=354
19:29:34 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.989 gen=0 | p1 run=1 q=1 prealloc=0 xfer=0 http=3 kv=0.010 hit=0.989 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.982 gen=0 | d0 run=36 q=0 prealloc=0 xfer=3 http=46 kv=0.231 hit=0.000 gen=337
19:29:49 p0 run=1 q=0 prealloc=0 xfer=0 http=7 kv=0.010 hit=0.955 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.988 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.979 gen=0 | d0 run=34 q=0 prealloc=0 xfer=6 http=49 kv=0.237 hit=0.000 gen=293
19:30:04 p0 run=4 q=0 prealloc=0 xfer=0 http=7 kv=0.038 hit=0.981 gen=0 | p1 run=4 q=0 prealloc=0 xfer=0 http=5 kv=0.042 hit=0.990 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.985 gen=0 | d0 run=31 q=0 prealloc=0 xfer=8 http=45 kv=0.258 hit=0.000 gen=262
19:30:20 p0 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.056 hit=0.977 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.983 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.984 gen=0 | d0 run=39 q=0 prealloc=0 xfer=2 http=49 kv=0.211 hit=0.000 gen=264
19:30:35 p0 run=2 q=0 prealloc=0 xfer=0 http=4 kv=0.010 hit=0.924 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.987 gen=0 | p2 run=1 q=0 prealloc=0 xfer=0 http=4 kv=0.010 hit=0.985 gen=0 | d0 run=35 q=0 prealloc=0 xfer=3 http=44 kv=0.176 hit=0.000 gen=314
19:30:50 p0 run=1 q=0 prealloc=0 xfer=0 http=3 kv=0.020 hit=0.954 gen=0 | p1 run=1 q=0 prealloc=0 xfer=0 http=7 kv=0.010 hit=0.988 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.991 gen=0 | d0 run=33 q=0 prealloc=0 xfer=3 http=45 kv=0.164 hit=0.000 gen=290
19:31:06 p0 run=1 q=0 prealloc=0 xfer=0 http=4 kv=0.060 hit=0.980 gen=0 | p1 run=2 q=0 prealloc=0 xfer=0 http=5 kv=0.055 hit=0.981 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.985 gen=0 | d0 run=29 q=0 prealloc=0 xfer=2 http=43 kv=0.180 hit=0.000 gen=289
19:31:22 p0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.987 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.986 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.986 gen=0 | d0 run=26 q=0 prealloc=0 xfer=2 http=35 kv=0.154 hit=0.000 gen=288
19:31:37 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.985 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.987 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.989 gen=0 | d0 run=34 q=0 prealloc=0 xfer=0 http=40 kv=0.193 hit=0.000 gen=297
19:31:52 p0 run=2 q=0 prealloc=0 xfer=0 http=3 kv=0.020 hit=0.984 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.984 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.983 gen=0 | d0 run=26 q=0 prealloc=0 xfer=2 http=34 kv=0.145 hit=0.000 gen=265
19:32:15 p0 run=8 q=0 prealloc=0 xfer=0 http=15 kv=0.069 hit=0.983 gen=0 | p1 run=6 q=0 prealloc=0 xfer=0 http=31 kv=0.067 hit=0.990 gen=0 | p2 run=7 q=2 prealloc=0 xfer=0 http=17 kv=0.046 hit=0.988 gen=0 | d0=<TimeoutError>
19:32:32 p0 run=3 q=2 prealloc=0 xfer=0 http=8 kv=0.090 hit=0.984 gen=0 | p1 run=7 q=3 prealloc=0 xfer=0 http=11 kv=0.106 hit=0.990 gen=0 | p2 run=4 q=3 prealloc=0 xfer=0 http=15 kv=0.073 hit=0.997 gen=0 | d0 run=37 q=0 prealloc=0 xfer=23 http=126 kv=0.504 hit=0.000 gen=370
19:32:54 p0 run=8 q=2 prealloc=0 xfer=0 http=12 kv=0.043 hit=0.979 gen=0 | p1 run=8 q=6 prealloc=0 xfer=0 http=17 kv=0.085 hit=0.990 gen=0 | p2 run=8 q=2 prealloc=0 xfer=0 http=18 kv=0.037 hit=0.983 gen=0 | d0 run=66 q=0 prealloc=0 xfer=24 http=119 kv=0.705 hit=0.000 gen=380
19:33:12 p0 run=8 q=8 prealloc=0 xfer=0 http=26 kv=0.056 hit=0.995 gen=0 | p1 run=9 q=6 prealloc=0 xfer=0 http=22 kv=0.061 hit=0.986 gen=0 | p2 run=7 q=3 prealloc=0 xfer=0 http=19 kv=0.043 hit=0.984 gen=0 | d0 run=71 q=5 prealloc=7 xfer=29 http=129 kv=0.676 hit=0.000 gen=415
19:33:29 p0 run=10 q=5 prealloc=0 xfer=0 http=20 kv=0.084 hit=0.993 gen=0 | p1 run=9 q=6 prealloc=0 xfer=0 http=12 kv=0.098 hit=0.985 gen=0 | p2 run=7 q=0 prealloc=0 xfer=0 http=18 kv=0.067 hit=0.980 gen=0 | d0 run=77 q=2 prealloc=8 xfer=29 http=127 kv=0.696 hit=0.000 gen=448
19:33:44 p0 run=9 q=8 prealloc=0 xfer=0 http=17 kv=0.084 hit=0.979 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.978 gen=0 | p2 run=7 q=4 prealloc=0 xfer=0 http=18 kv=0.053 hit=0.991 gen=0 | d0 run=81 q=0 prealloc=5 xfer=19 http=116 kv=0.739 hit=0.000 gen=474
19:33:59 p0 run=9 q=6 prealloc=0 xfer=0 http=19 kv=0.113 hit=0.993 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.996 gen=0 | p2 run=8 q=0 prealloc=0 xfer=0 http=12 kv=0.043 hit=0.989 gen=0 | d0 run=88 q=0 prealloc=6 xfer=20 http=129 kv=0.735 hit=0.000 gen=479
19:34:15 p0 run=10 q=6 prealloc=0 xfer=0 http=16 kv=0.107 hit=0.984 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.994 gen=0 | p2 run=3 q=0 prealloc=0 xfer=0 http=9 kv=0.020 hit=0.955 gen=0 | d0 run=96 q=1 prealloc=2 xfer=16 http=123 kv=0.698 hit=0.000 gen=550
19:34:30 p0 run=9 q=5 prealloc=0 xfer=0 http=17 kv=0.095 hit=0.977 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.982 gen=0 | p2 run=9 q=3 prealloc=0 xfer=0 http=15 kv=0.026 hit=0.973 gen=0 | d0 run=79 q=0 prealloc=5 xfer=20 http=118 kv=0.609 hit=0.000 gen=512
19:34:47 p0 run=8 q=5 prealloc=0 xfer=0 http=18 kv=0.110 hit=0.994 gen=0 | p1 run=2 q=2 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.992 gen=0 | p2 run=9 q=1 prealloc=0 xfer=0 http=10 kv=0.101 hit=0.978 gen=0 | d0 run=71 q=2 prealloc=0 xfer=26 http=119 kv=0.660 hit=0.000 gen=402
19:35:02 p0 run=11 q=3 prealloc=0 xfer=0 http=18 kv=0.105 hit=0.971 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.994 gen=0 | p2 run=13 q=7 prealloc=0 xfer=0 http=23 kv=0.066 hit=0.979 gen=0 | d0 run=76 q=5 prealloc=0 xfer=31 http=123 kv=0.655 hit=0.000 gen=434
19:35:18 p0 run=8 q=5 prealloc=0 xfer=0 http=14 kv=0.088 hit=0.979 gen=0 | p1 run=1 q=0 prealloc=0 xfer=0 http=6 kv=0.070 hit=0.989 gen=0 | p2 run=9 q=7 prealloc=0 xfer=0 http=21 kv=0.059 hit=0.961 gen=0 | d0 run=78 q=1 prealloc=0 xfer=26 http=121 kv=0.537 hit=0.000 gen=461
19:35:35 p0 run=10 q=0 prealloc=0 xfer=0 http=8 kv=0.091 hit=0.988 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.996 gen=0 | p2 run=9 q=4 prealloc=0 xfer=0 http=17 kv=0.056 hit=0.972 gen=0 | d0 run=75 q=0 prealloc=0 xfer=18 http=119 kv=0.619 hit=0.000 gen=471
19:35:52 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.978 gen=0 | p1 run=5 q=2 prealloc=0 xfer=0 http=13 kv=0.100 hit=0.983 gen=0 | p2 run=9 q=8 prealloc=0 xfer=0 http=15 kv=0.037 hit=0.983 gen=0 | d0 run=73 q=0 prealloc=0 xfer=20 http=113 kv=0.603 hit=0.000 gen=458
19:36:07 p0 run=6 q=0 prealloc=0 xfer=0 http=7 kv=0.040 hit=0.979 gen=0 | p1 run=8 q=3 prealloc=0 xfer=0 http=13 kv=0.078 hit=0.963 gen=0 | p2 run=8 q=15 prealloc=0 xfer=0 http=22 kv=0.040 hit=0.979 gen=0 | d0 run=83 q=0 prealloc=0 xfer=29 http=119 kv=0.686 hit=0.000 gen=476
19:36:24 p0 run=2 q=0 prealloc=0 xfer=0 http=12 kv=0.100 hit=0.988 gen=0 | p1 run=8 q=2 prealloc=0 xfer=0 http=7 kv=0.050 hit=0.983 gen=0 | p2 run=9 q=22 prealloc=0 xfer=0 http=34 kv=0.039 hit=0.966 gen=0 | d0 run=70 q=0 prealloc=0 xfer=36 http=129 kv=0.646 hit=0.000 gen=414
19:36:39 p0 run=6 q=2 prealloc=0 xfer=0 http=8 kv=0.085 hit=0.991 gen=0 | p1 run=7 q=2 prealloc=0 xfer=0 http=13 kv=0.044 hit=0.989 gen=0 | p2 run=10 q=15 prealloc=0 xfer=0 http=36 kv=0.043 hit=0.970 gen=0 | d0 run=75 q=0 prealloc=1 xfer=35 http=141 kv=0.705 hit=0.000 gen=462
19:36:56 p0 run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.990 gen=0 | p1 run=8 q=2 prealloc=0 xfer=0 http=12 kv=0.054 hit=0.988 gen=0 | p2 run=13 q=7 prealloc=0 xfer=0 http=25 kv=0.068 hit=0.955 gen=0 | d0 run=93 q=3 prealloc=3 xfer=20 http=139 kv=0.644 hit=0.000 gen=514
19:37:11 p0 run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.982 gen=0 | p1 run=8 q=6 prealloc=0 xfer=0 http=17 kv=0.037 hit=0.991 gen=0 | p2 run=9 q=9 prealloc=0 xfer=0 http=34 kv=0.046 hit=0.977 gen=0 | d0 run=91 q=0 prealloc=3 xfer=28 http=152 kv=0.659 hit=0.000 gen=524
19:37:27 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.982 gen=0 | p1 run=12 q=0 prealloc=0 xfer=0 http=12 kv=0.051 hit=0.964 gen=0 | p2 run=9 q=14 prealloc=0 xfer=0 http=23 kv=0.053 hit=0.957 gen=0 | d0 run=93 q=6 prealloc=1 xfer=24 http=137 kv=0.660 hit=0.000 gen=544
